"","snow2011","lake_perc_area","Predicted"
"1",0,0.48,0.504071856571088
"2",0.015694466755102,0.48,0.504071856571088
"3",0.0313889335102041,0.48,0.504071856571088
"4",0.0470834002653061,0.48,0.504071856571088
"5",0.0627778670204082,0.48,0.504071856571088
"6",0.0784723337755102,0.48,0.504071856571088
"7",0.0941668005306122,0.48,0.504071856571088
"8",0.109861267285714,0.48,0.504071856571088
"9",0.125555734040816,0.48,0.504071856571088
"10",0.141250200795918,0.48,0.504071856571088
"11",0.15694466755102,0.48,0.450522113803627
"12",0.172639134306122,0.48,0.450522113803627
"13",0.188333601061224,0.48,0.450522113803627
"14",0.204028067816327,0.48,0.450522113803627
"15",0.219722534571429,0.48,0.445959492461917
"16",0.235417001326531,0.48,0.505353801698392
"17",0.251111468081633,0.48,0.505353801698392
"18",0.266805934836735,0.48,0.536063657901798
"19",0.282500401591837,0.48,0.504126368283788
"20",0.298194868346939,0.48,0.504126368283788
"21",0.313889335102041,0.48,0.588755923682984
"22",0.329583801857143,0.48,0.588755923682984
"23",0.345278268612245,0.48,0.588755923682984
"24",0.360972735367347,0.48,0.471958137538784
"25",0.376667202122449,0.48,0.471958137538784
"26",0.392361668877551,0.48,0.471958137538784
"27",0.408056135632653,0.48,0.363938845576656
"28",0.423750602387755,0.48,0.363938845576656
"29",0.439445069142857,0.48,0.31609698421291
"30",0.455139535897959,0.48,0.31609698421291
"31",0.470834002653061,0.48,0.31609698421291
"32",0.486528469408163,0.48,0.31609698421291
"33",0.502222936163265,0.48,0.20832019103614
"34",0.517917402918367,0.48,0.20832019103614
"35",0.533611869673469,0.48,0.20832019103614
"36",0.549306336428571,0.48,0.20832019103614
"37",0.565000803183674,0.48,0.20832019103614
"38",0.580695269938776,0.48,0.20832019103614
"39",0.596389736693878,0.48,0.20832019103614
"40",0.61208420344898,0.48,0.20832019103614
"41",0.627778670204082,0.48,0.20832019103614
"42",0.643473136959184,0.48,0.20832019103614
"43",0.659167603714286,0.48,0.20832019103614
"44",0.674862070469388,0.48,0.20832019103614
"45",0.69055653722449,0.48,0.20832019103614
"46",0.706251003979592,0.48,0.20832019103614
"47",0.721945470734694,0.48,0.20832019103614
"48",0.737639937489796,0.48,0.20832019103614
"49",0.753334404244898,0.48,0.20832019103614
"50",0.769028871,0.48,0.20832019103614
"51",0,0.680204081632653,0.504071856571088
"52",0.015694466755102,0.680204081632653,0.504071856571088
"53",0.0313889335102041,0.680204081632653,0.504071856571088
"54",0.0470834002653061,0.680204081632653,0.504071856571088
"55",0.0627778670204082,0.680204081632653,0.504071856571088
"56",0.0784723337755102,0.680204081632653,0.504071856571088
