"","Difference_SnowFree","TEMP","Predicted"
"1",-16,5.75,2.01164857675418
"2",-15.5510204081633,5.75,2.01164857675418
"3",-15.1020408163265,5.75,2.01164857675418
"4",-14.6530612244898,5.75,2.01164857675418
"5",-14.2040816326531,5.75,2.01164857675418
"6",-13.7551020408163,5.75,2.01164857675418
"7",-13.3061224489796,5.75,2.01164857675418
"8",-12.8571428571429,5.75,2.01164857675418
"9",-12.4081632653061,5.75,2.01164857675418
"10",-11.9591836734694,5.75,2.01164857675418
"11",-11.5102040816327,5.75,2.01164857675418
"12",-11.0612244897959,5.75,2.01164857675418
"13",-10.6122448979592,5.75,2.01164857675418
"14",-10.1632653061224,5.75,2.01164857675418
"15",-9.71428571428572,5.75,2.01164857675418
"16",-9.26530612244898,5.75,2.01164857675418
"17",-8.81632653061224,5.75,2.01164857675418
"18",-8.36734693877551,5.75,2.01164857675418
"19",-7.91836734693878,5.75,2.01164857675418
"20",-7.46938775510204,5.75,2.01164857675418
"21",-7.02040816326531,5.75,2.01164857675418
"22",-6.57142857142857,5.75,2.01164857675418
"23",-6.12244897959184,5.75,2.01164857675418
"24",-5.6734693877551,5.75,2.01164857675418
"25",-5.22448979591837,5.75,2.00389927714637
"26",-4.77551020408163,5.75,1.98128213846034
"27",-4.3265306122449,5.75,1.6510541739311
"28",-3.87755102040816,5.75,1.6510541739311
"29",-3.42857142857143,5.75,1.60110283631874
"30",-2.97959183673469,5.75,1.49769889437032
"31",-2.53061224489796,5.75,1.49769889437032
"32",-2.08163265306122,5.75,1.49769889437032
"33",-1.63265306122449,5.75,1.49769889437032
"34",-1.18367346938776,5.75,1.49769889437032
"35",-0.73469387755102,5.75,1.4970277485326
"36",-0.285714285714286,5.75,1.4970277485326
"37",0.163265306122447,5.75,1.53935230935137
"38",0.612244897959183,5.75,1.53935230935137
"39",1.06122448979592,5.75,1.53935230935137
"40",1.51020408163265,5.75,1.53935230935137
"41",1.95918367346939,5.75,1.53935230935137
"42",2.40816326530612,5.75,1.53935230935137
"43",2.85714285714286,5.75,1.52587855371121
"44",3.30612244897959,5.75,1.52587855371121
"45",3.75510204081633,5.75,1.52587855371121
"46",4.20408163265306,5.75,1.52587855371121
"47",4.6530612244898,5.75,1.50207541236924
"48",5.10204081632653,5.75,1.50207541236924
